LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
971231,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,5,NA,NA
971232,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971233,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971234,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971235,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971236,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971237,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971238,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,4,NA,NA
971239,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971240,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971241,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971242,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971243,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971244,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971245,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,5,NA,NA
971246,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971247,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971248,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971249,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971250,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971251,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
